t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1515104961,5,0.020000,0.003516,0.001000,0.005480,0.001000,0.003000,0.020000,0.020000,0.020000,0.020000,0.014875,0.001484,0.071705,0.141835,calls/second,seconds
1515115761,4,0.002000,0.000648,0.000000,0.000767,0.000000,0.001000,0.002000,0.002000,0.002000,0.002000,0.030733,0.034025,0.138956,0.177040,calls/second,seconds
1515116661,5,0.009000,0.003364,0.000000,0.003526,0.002000,0.005000,0.009000,0.009000,0.009000,0.009000,0.020093,0.008490,0.184443,0.308965,calls/second,seconds
1515158061,4,0.003000,0.001766,0.001000,0.000805,0.002000,0.002000,0.003000,0.003000,0.003000,0.003000,0.009687,0.000320,0.054643,0.129705,calls/second,seconds
1515158961,5,0.007000,0.002227,0.000000,0.002694,0.001000,0.002000,0.007000,0.007000,0.007000,0.007000,0.008987,0.000048,0.065628,0.218937,calls/second,seconds
1515159861,9,0.003000,0.001406,0.000000,0.001326,0.001000,0.003000,0.003000,0.003000,0.003000,0.003000,0.017506,0.001670,0.046708,0.120332,calls/second,seconds
1515169761,9,0.004000,0.001716,0.000000,0.001521,0.002000,0.002000,0.004000,0.004000,0.004000,0.004000,0.010261,0.000004,0.013894,0.080236,calls/second,seconds
1515170661,26,0.001000,0.000277,0.000000,0.000448,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.052680,0.037719,0.241853,0.603179,calls/second,seconds
1515194061,4,0.002000,0.000996,0.000000,0.000761,0.001000,0.002000,0.002000,0.002000,0.002000,0.002000,0.006583,0.000012,0.028502,0.104428,calls/second,seconds
1515194961,5,0.003000,0.001555,0.000000,0.000933,0.001000,0.003000,0.003000,0.003000,0.003000,0.003000,0.017672,0.010699,0.088804,0.151217,calls/second,seconds
1515195861,5,0.004000,0.001484,0.000000,0.001425,0.001000,0.001000,0.004000,0.004000,0.004000,0.004000,0.006272,0.000001,0.029489,0.167690,calls/second,seconds
1519232958,2,0.006000,0.002620,0.000000,0.002976,0.000000,0.006000,0.006000,0.006000,0.006000,0.006000,0.008926,0.006127,0.099373,0.158388,calls/second,seconds
1519233858,7,0.002000,0.000762,0.000000,0.000760,0.001000,0.001000,0.002000,0.002000,0.002000,0.002000,0.013011,0.000059,0.038083,0.114854,calls/second,seconds
1519258158,7,0.002000,0.000421,0.000000,0.000741,0.000000,0.001000,0.002000,0.002000,0.002000,0.002000,0.010994,0.000010,0.027209,0.102744,calls/second,seconds
1519259058,7,0.004000,0.000947,0.000000,0.001215,0.001000,0.001000,0.004000,0.004000,0.004000,0.004000,0.007895,0.000000,0.011851,0.077844,calls/second,seconds
1519263558,7,0.001000,0.000150,0.000000,0.000357,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.011886,0.000024,0.032155,0.108617,calls/second,seconds
1519314858,7,0.001000,0.000154,0.000000,0.000361,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.015471,0.000230,0.050468,0.126206,calls/second,seconds
1519316658,4,0.001000,0.000269,0.000000,0.000443,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.004926,0.000000,0.014404,0.083164,calls/second,seconds
