t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1513089954,7,0.003000,0.001727,0.000000,0.000844,0.001000,0.002000,0.003000,0.003000,0.003000,0.003000,0.008203,0.000004,0.014220,0.081390,calls/second,seconds
1513110998,1,0.008000,0.008000,0.008000,0.000000,0.008000,0.008000,0.008000,0.008000,0.008000,0.008000,0.001193,0.000000,0.012574,0.079527,calls/second,seconds
1513248006,1,0.004000,0.004000,0.004000,0.000000,0.004000,0.004000,0.004000,0.004000,0.004000,0.004000,0.001198,0.000000,0.012786,0.079970,calls/second,seconds
1513267498,1,0.003000,0.003000,0.003000,0.000000,0.003000,0.003000,0.003000,0.003000,0.003000,0.003000,0.001251,0.000000,0.014368,0.083141,calls/second,seconds
1515080661,1,0.008000,0.008000,0.008000,0.000000,0.008000,0.008000,0.008000,0.008000,0.008000,0.008000,0.001194,0.000000,0.012574,0.079527,calls/second,seconds
1515104961,5,0.020000,0.011190,0.001000,0.008856,0.010000,0.020000,0.020000,0.020000,0.020000,0.020000,0.014872,0.001484,0.071705,0.141835,calls/second,seconds
1515115761,4,0.011000,0.002221,0.000000,0.004139,0.000000,0.001000,0.011000,0.011000,0.011000,0.011000,0.030726,0.034025,0.138956,0.177040,calls/second,seconds
1515116661,2,0.017000,0.008820,0.001000,0.007998,0.001000,0.017000,0.017000,0.017000,0.017000,0.017000,0.008036,0.007326,0.179732,0.306371,calls/second,seconds
1515158061,4,0.043000,0.007925,0.000000,0.016374,0.000000,0.001000,0.043000,0.043000,0.043000,0.043000,0.009685,0.000320,0.054643,0.129705,calls/second,seconds
1515158961,2,0.013000,0.006865,0.001000,0.005998,0.001000,0.013000,0.013000,0.013000,0.013000,0.013000,0.003594,0.000042,0.063952,0.217099,calls/second,seconds
1515159861,6,0.019000,0.007146,0.000000,0.006601,0.001000,0.014000,0.014000,0.014000,0.014000,0.019000,0.011670,0.000599,0.042075,0.117753,calls/second,seconds
1515169761,6,0.021000,0.010508,0.000000,0.009977,0.001000,0.021000,0.021000,0.021000,0.021000,0.021000,0.006839,0.000002,0.012475,0.078497,calls/second,seconds
1515170661,18,0.016000,0.002236,0.000000,0.004345,0.001000,0.001000,0.016000,0.016000,0.016000,0.016000,0.036610,0.029446,0.113358,0.248639,calls/second,seconds
1515194061,4,0.015000,0.003683,0.001000,0.005510,0.001000,0.001000,0.015000,0.015000,0.015000,0.015000,0.006583,0.000012,0.028502,0.104428,calls/second,seconds
1515194961,5,0.013000,0.003273,0.000000,0.004667,0.001000,0.002000,0.013000,0.013000,0.013000,0.013000,0.017670,0.010699,0.088804,0.151217,calls/second,seconds
1515195861,2,0.003000,0.001478,0.000000,0.001500,0.000000,0.003000,0.003000,0.003000,0.003000,0.003000,0.002509,0.000001,0.028735,0.166282,calls/second,seconds
1515769897,1,0.004000,0.004000,0.004000,0.000000,0.004000,0.004000,0.004000,0.004000,0.004000,0.004000,0.001204,0.000000,0.012786,0.079970,calls/second,seconds
1515781585,1,0.009000,0.009000,0.009000,0.000000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.001227,0.000000,0.013441,0.081314,calls/second,seconds
1515782918,1,0.006000,0.006000,0.006000,0.000000,0.006000,0.006000,0.006000,0.006000,0.006000,0.006000,0.001213,0.000000,0.013219,0.080863,calls/second,seconds
1516041169,1,0.003000,0.003000,0.003000,0.000000,0.003000,0.003000,0.003000,0.003000,0.003000,0.003000,0.001165,0.000000,0.011763,0.077779,calls/second,seconds
1516877847,1,0.008000,0.008000,0.008000,0.000000,0.008000,0.008000,0.008000,0.008000,0.008000,0.008000,0.001199,0.000000,0.012786,0.079970,calls/second,seconds
1517522958,1,0.004000,0.004000,0.004000,0.000000,0.004000,0.004000,0.004000,0.004000,0.004000,0.004000,0.001173,0.000000,0.011961,0.078212,calls/second,seconds
1519232958,2,0.006000,0.003746,0.002000,0.001984,0.002000,0.006000,0.006000,0.006000,0.006000,0.006000,0.008922,0.006127,0.099373,0.158388,calls/second,seconds
1519233858,7,0.007000,0.001584,0.000000,0.002290,0.001000,0.001000,0.007000,0.007000,0.007000,0.007000,0.013011,0.000059,0.038083,0.114854,calls/second,seconds
1519258158,7,0.008000,0.001027,0.000000,0.002194,0.000000,0.001000,0.008000,0.008000,0.008000,0.008000,0.010994,0.000010,0.027209,0.102744,calls/second,seconds
1519259058,7,0.006000,0.001386,0.000000,0.001782,0.001000,0.001000,0.006000,0.006000,0.006000,0.006000,0.007895,0.000000,0.011851,0.077844,calls/second,seconds
1519263558,7,0.005000,0.001500,0.000000,0.002076,0.000000,0.004000,0.005000,0.005000,0.005000,0.005000,0.011886,0.000024,0.032155,0.108617,calls/second,seconds
1519314858,7,0.033000,0.003243,0.000000,0.008986,0.001000,0.001000,0.033000,0.033000,0.033000,0.033000,0.015471,0.000230,0.050468,0.126206,calls/second,seconds
1519316658,4,0.004000,0.000707,0.000000,0.001525,0.000000,0.000000,0.004000,0.004000,0.004000,0.004000,0.004925,0.000000,0.014404,0.083164,calls/second,seconds
1519374973,1,0.005000,0.005000,0.005000,0.000000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.001182,0.000000,0.012162,0.078648,calls/second,seconds
1519381976,1,0.002000,0.002000,0.002000,0.000000,0.002000,0.002000,0.002000,0.002000,0.002000,0.002000,0.001166,0.000000,0.011763,0.077779,calls/second,seconds
1519661541,1,0.003000,0.003000,0.003000,0.000000,0.003000,0.003000,0.003000,0.003000,0.003000,0.003000,0.001201,0.000000,0.012786,0.079970,calls/second,seconds
1519664145,1,0.009000,0.009000,0.009000,0.000000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.001194,0.000000,0.012574,0.079527,calls/second,seconds
