t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1513089954,12,0.001000,0.000245,0.000000,0.000430,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.050320,0.064890,0.209096,0.319558,calls/second,seconds
1513090854,20,0.001000,0.000001,0.000000,0.000034,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,0.026968,0.052517,0.077392,0.278868,calls/second,seconds
1513091754,20,0.001000,0.000001,0.000000,0.000032,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,0.026960,0.052572,0.077469,0.278888,calls/second,seconds
1513092654,20,0.001000,0.000000,0.000000,0.000009,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.026960,0.053515,0.077477,0.278885,calls/second,seconds
1513093554,20,0.001000,0.000002,0.000000,0.000047,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,0.026958,0.053518,0.077493,0.278889,calls/second,seconds
1513094454,20,0.001000,0.000000,0.000000,0.000008,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.026959,0.053567,0.077513,0.278890,calls/second,seconds
1513095354,20,0.001000,0.000000,0.000000,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.026960,0.052519,0.077416,0.278875,calls/second,seconds
1513096254,20,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.026960,0.052520,0.077425,0.278879,calls/second,seconds
1513097154,20,0.001000,0.000483,0.000000,0.000500,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.026961,0.052522,0.077432,0.278879,calls/second,seconds
1513098054,20,0.001000,0.000273,0.000000,0.000445,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.026959,0.052522,0.077441,0.278883,calls/second,seconds
1513098954,20,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.026957,0.053567,0.077521,0.278894,calls/second,seconds
1513099854,20,0.001000,0.000000,0.000000,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.026955,0.053515,0.077482,0.278888,calls/second,seconds
1513100754,20,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.026958,0.052522,0.077432,0.278879,calls/second,seconds
1513101654,20,0.001000,0.000000,0.000000,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.026952,0.053567,0.077513,0.278890,calls/second,seconds
1513102554,20,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.026956,0.053518,0.077493,0.278889,calls/second,seconds
1513103454,20,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.026956,0.052572,0.077469,0.278888,calls/second,seconds
1513104354,20,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.026958,0.052519,0.077416,0.278875,calls/second,seconds
1513105254,12,0.001000,0.000001,0.000000,0.000034,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,0.016175,0.000133,0.057934,0.270948,calls/second,seconds
1513110998,19,0.001000,0.000270,0.000000,0.000444,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.024711,0.026448,0.069519,0.270478,calls/second,seconds
