t,value
1519381976,0.05
1519382876,0.05
1519383776,0.05
1519384676,0.05
1519385576,0.05
1519386476,0.05
1519387376,0.05
1519388276,0.05
1519389176,0.05
1519390076,0.05
1519390976,0.05
1519391876,0.05
1519392776,0.05
1519393676,0.05
1519394576,0.05
1519395476,0.05
1519396376,0.05
1519397276,0.05
1519398176,0.05
1519399076,0.05
1519399976,0.05
1519400876,0.05
1519401776,0.05
1519402676,0.05
1519403576,0.05
1519404476,0.05
1519405376,0.05
1519406276,0.05
1519407176,0.05
1519408076,0.05
1519408976,0.05
1519409876,0.05
1519410776,0.05
1519411676,0.05
1519412576,0.05
1519413476,0.05
1519414376,0.05
1519415276,0.05
1519416176,0.05
1519417076,0.05
1519417976,0.05
1519418876,0.05
1519419776,0.05
1519420676,0.05
1519421576,0.05
1519422476,0.05
1519423376,0.05
1519424276,0.05
1519425176,0.05
1519426076,0.05
1519426976,0.05
1519427876,0.05
1519428776,0.05
1519429676,0.05
1519430576,0.05
1519431476,0.05
1519432376,0.05
1519433276,0.05
1519434176,0.05
1519435076,0.05
1519435976,0.05
1519436876,0.05
1519437776,0.05
1519438676,0.05
1519439576,0.05
1519440476,0.05
1519441376,0.05
1519442276,0.05
1519443176,0.05
1519444076,0.05
1519444976,0.05
1519445876,0.05
1519446776,0.05
1519447676,0.05
1519448576,0.05
1519449476,0.05
1519450376,0.05
1519451276,0.05
1519452176,0.05
1519453076,0.05
1519453976,0.05
1519454876,0.05
1519455776,0.05
1519456676,0.05
1519457576,0.05
1519458476,0.05
1519459376,0.05
1519460276,0.05
1519461176,0.05
1519462076,0.05
1519462976,0.05
1519463876,0.05
1519464776,0.05
1519465676,0.05
1519466576,0.05
1519467476,0.05
1519468376,0.05
1519469276,0.05
1519470176,0.05
1519471076,0.05
1519471976,0.05
1519472876,0.05
1519473776,0.05
1519474676,0.05
1519475576,0.05
1519476476,0.05
1519477376,0.05
1519478276,0.05
1519479176,0.05
1519480076,0.05
1519480976,0.05
1519481876,0.05
1519482776,0.05
1519483676,0.05
1519484576,0.05
1519485476,0.05
1519486376,0.05
1519487276,0.05
1519488176,0.05
1519489076,0.05
1519489976,0.05
1519490876,0.05
1519491776,0.05
1519492676,0.05
1519493576,0.05
1519494476,0.05
1519495376,0.05
1519496276,0.05
1519497176,0.05
1519498076,0.05
1519498976,0.05
1519499876,0.05
1519500776,0.05
1519501676,0.05
1519502576,0.05
1519503476,0.05
1519504376,0.05
1519505276,0.05
1519506176,0.05
1519507076,0.05
1519507976,0.05
1519508876,0.05
1519509776,0.05
1519510676,0.05
1519511576,0.05
1519512476,0.05
1519513376,0.05
1519514276,0.05
1519515176,0.05
1519516076,0.05
1519516976,0.05
1519517876,0.05
1519518776,0.05
1519519676,0.05
1519520576,0.05
1519521476,0.05
1519522376,0.05
1519523276,0.05
1519524176,0.05
1519525076,0.05
1519525976,0.05
1519526876,0.05
1519527776,0.05
1519528676,0.05
1519529576,0.05
1519530476,0.05
1519531376,0.05
1519532276,0.05
1519533176,0.05
1519534076,0.05
1519534976,0.05
1519535876,0.05
1519536776,0.05
1519537676,0.05
1519538576,0.05
1519539476,0.05
1519540376,0.05
1519541276,0.05
1519542176,0.05
1519543076,0.05
1519543976,0.05
1519544876,0.05
1519545776,0.05
1519546676,0.05
1519547576,0.05
1519548476,0.05
1519549376,0.05
1519550276,0.05
1519551176,0.05
1519552076,0.05
1519552976,0.05
1519553876,0.05
1519554776,0.05
1519555676,0.05
1519556576,0.05
1519557476,0.05
1519558376,0.05
1519559276,0.05
1519560176,0.05
1519561076,0.05
1519561976,0.05
1519562876,0.05
1519563776,0.05
1519564676,0.05
1519565576,0.05
1519566476,0.05
1519567376,0.05
1519568276,0.05
1519569176,0.05
1519570076,0.05
1519570976,0.05
1519571876,0.05
1519572776,0.05
1519573676,0.05
1519574576,0.05
1519575476,0.05
1519576376,0.05
1519577276,0.05
1519578176,0.05
1519579076,0.05
1519579976,0.05
1519580876,0.05
1519581776,0.05
1519582676,0.05
1519583576,0.05
1519584476,0.05
1519585376,0.05
1519586276,0.05
1519587176,0.05
1519588076,0.05
1519588976,0.05
1519589876,0.05
1519590776,0.05
1519591676,0.05
1519592576,0.05
1519593476,0.05
1519594376,0.05
1519595276,0.05
1519596176,0.05
1519597076,0.05
1519597976,0.05
1519598876,0.05
1519599776,0.05
1519600676,0.05
1519601576,0.05
1519602476,0.05
1519603376,0.05
1519604276,0.05
1519605176,0.05
1519606076,0.05
1519606976,0.05
1519607876,0.05
1519608776,0.05
1519609676,0.05
1519610576,0.05
1519611476,0.05
1519612376,0.05
1519613276,0.05
1519614176,0.05
1519615076,0.05
1519615976,0.05
1519616876,0.05
1519617776,0.05
1519618676,0.05
1519619576,0.05
1519620476,0.05
1519621376,0.05
1519622276,0.05
1519623176,0.05
1519624076,0.05
1519624976,0.05
1519625876,0.05
1519626776,0.05
1519627676,0.05
1519628576,0.05
1519629476,0.05
1519630376,0.05
1519631276,0.05
1519632176,0.05
1519633076,0.05
1519633976,0.05
1519634876,0.05
1519635776,0.05
1519636676,0.05
1519637576,0.05
1519638476,0.05
1519639376,0.05
1519640276,0.05
1519641176,0.05
1519642076,0.05
1519642976,0.05
1519643876,0.05
1519644776,0.05
1519645676,0.05
1519646576,0.05
1519647476,0.05
1519648376,0.05
1519649276,0.05
1519650176,0.05
1519651076,0.05
1519651976,0.05
1519652876,0.05
1519653776,0.05
1519654676,0.05
1519655576,0.05
1519656476,0.05
1519657376,0.05
1519658276,0.05
1519659176,0.05
